userId,itemId,rating
0,21,3
0,73,5
0,62,1
0,63,1
0,35,1
0,1,5
0,48,1
0,57,4
0,17,3
0,24,4
1,11,1
1,38,1
1,71,4
1,69,5
1,24,3
1,56,3
1,3,1
1,70,5
1,79,3
1,12,4
1,36,1
1,99,1
1,46,1
1,42,2
1,43,1
1,14,5
1,21,5
2,84,2
2,77,4
2,17,5
2,28,1
2,24,1
2,25,5
2,69,2
2,3,4
2,71,3
2,5,3
2,4,3
2,23,4
2,75,4
2,35,2
2,41,1
2,49,2
2,76,3
2,93,4
2,14,4
3,76,2
3,20,1
3,19,4
4,53,3
4,0,1
4,56,3
4,47,5
4,90,2
4,87,4
4,41,4
4,98,2
4,54,1
4,60,2
4,3,5
4,37,5
4,8,3
4,24,5
4,46,4
4,33,4
4,96,2
4,36,2
4,12,3
5,20,5
5,8,3
5,58,3
5,34,4
5,82,1
5,43,1
5,77,4
5,75,3
5,44,2
5,91,1
7,80,3
7,9,5
7,64,1
7,72,1
7,34,3
7,89,2
7,23,5
7,75,3
7,18,3
7,86,3
7,87,4
7,46,4
7,63,5
7,95,5
7,20,3
7,40,1
7,44,2
7,42,4
8,14,4
8,97,2
8,95,4
8,81,1
8,15,5
8,68,5
8,27,4
8,4,4
8,96,1
8,22,5
9,34,3
9,55,3
9,6,1
9,49,1
9,54,5
9,97,5
10,67,3
10,72,2
10,39,1
10,74,2
11,79,4
11,20,1
11,7,5
11,65,1
11,0,4
11,60,3
12,41,5
12,74,2
12,98,4
12,10,4
12,61,4
12,12,3
12,20,2
12,68,1
12,85,5
12,37,4
12,26,4
12,22,4
12,82,2
12,6,1
13,95,1
13,67,2
13,48,4
13,17,5
13,94,3
13,59,3
14,42,2
14,26,1
14,40,3
14,0,3
14,84,2
15,22,2
15,49,1
15,64,2
15,50,1
15,75,3
15,55,2
15,93,4
15,56,2
16,48,3
16,61,3
16,39,4
16,2,1
16,75,3
17,28,1
17,78,3
17,27,5
17,44,1
17,57,4
17,21,4
17,58,1
17,52,4
17,56,3
17,40,1
17,86,3
17,81,3
17,2,1
17,41,2
17,99,5
17,23,1
17,60,3
